id,status_group
50785,predicted label
51630,predicted label
17168,predicted label
45559,predicted label
49871,predicted label
52449,predicted label
24806,predicted label
28965,predicted label
36301,predicted label
54122,predicted label
419,predicted label
45750,predicted label
653,predicted label
14017,predicted label
44607,predicted label
40228,predicted label
27714,predicted label
28785,predicted label
28330,predicted label
18532,predicted label
69961,predicted label
55083,predicted label
8691,predicted label
30331,predicted label
70970,predicted label
61136,predicted label
28799,predicted label
46825,predicted label
44718,predicted label
37350,predicted label
65738,predicted label
3271,predicted label
42658,predicted label
67523,predicted label
37034,predicted label
42432,predicted label
27420,predicted label
707,predicted label
48489,predicted label
51008,predicted label
72562,predicted label
10275,predicted label
53540,predicted label
43291,predicted label
8813,predicted label
62343,predicted label
1649,predicted label
8822,predicted label
10352,predicted label
50878,predicted label
15266,predicted label
51956,predicted label
44099,predicted label
59,predicted label
51359,predicted label
15962,predicted label
17853,predicted label
42040,predicted label
72243,predicted label
63653,predicted label
26510,predicted label
72053,predicted label
29351,predicted label
51897,predicted label
20376,predicted label
26804,predicted label
67303,predicted label
69780,predicted label
45374,predicted label
54665,predicted label
39341,predicted label
8869,predicted label
20691,predicted label
19693,predicted label
14321,predicted label
63059,predicted label
67403,predicted label
28912,predicted label
12549,predicted label
24328,predicted label
13750,predicted label
1574,predicted label
44149,predicted label
53917,predicted label
22705,predicted label
66465,predicted label
15644,predicted label
20773,predicted label
33092,predicted label
54392,predicted label
37850,predicted label
5576,predicted label
60840,predicted label
9971,predicted label
57508,predicted label
25872,predicted label
43978,predicted label
38181,predicted label
24325,predicted label
2724,predicted label
34794,predicted label
56525,predicted label
63155,predicted label
67247,predicted label
23387,predicted label
17873,predicted label
18197,predicted label
24834,predicted label
4091,predicted label
33261,predicted label
44384,predicted label
62096,predicted label
64554,predicted label
68314,predicted label
53,predicted label
23426,predicted label
38259,predicted label
16631,predicted label
43162,predicted label
44492,predicted label
38884,predicted label
13690,predicted label
60335,predicted label
31856,predicted label
67891,predicted label
25564,predicted label
55293,predicted label
31866,predicted label
71178,predicted label
60279,predicted label
28615,predicted label
8744,predicted label
48308,predicted label
49626,predicted label
38098,predicted label
30309,predicted label
8015,predicted label
3496,predicted label
56971,predicted label
68616,predicted label
8646,predicted label
74104,predicted label
37501,predicted label
33001,predicted label
69202,predicted label
68409,predicted label
51847,predicted label
55647,predicted label
17923,predicted label
71743,predicted label
51539,predicted label
73819,predicted label
66881,predicted label
58768,predicted label
2648,predicted label
68933,predicted label
12427,predicted label
16633,predicted label
24123,predicted label
58551,predicted label
17132,predicted label
3027,predicted label
2651,predicted label
25998,predicted label
