amount_tsh,gps_height,population,age,public_meeting_True,permit_True,status_group
6000.0,1390,109,23.0,1,0,functional
25.0,686,250,13.0,1,1,functional
0.0,263,58,36.0,1,1,non functional
20.0,0,1,13.0,1,1,functional
0.0,62,345,11.0,1,0,functional
200.0,1062,250,35.0,1,0,functional
0.0,1368,1,13.0,1,1,functional
0.0,1645,200,31.0,1,0,functional
500.0,1703,35,44.0,1,1,non functional
0.0,1656,50,44.0,1,1,non functional
500.0,1763,1,30.0,1,1,functional
200.0,2216,4,14.0,1,0,functional
0.0,1510,350,44.0,1,1,functional needs repair
500.0,672,210,11.0,1,1,functional
0.0,1645,156,13.0,0,1,functional
0.0,1273,140,48.0,1,1,functional needs repair
500.0,200,260,11.0,0,0,functional
0.0,1443,1,22.0,1,1,non functional
0.0,1256,1,20.0,1,1,functional
50.0,180,150,18.0,0,1,functional
0.0,1481,180,50.0,0,1,functional needs repair
0.0,1638,70,30.0,1,0,functional
0.0,1546,200,22.0,1,1,non functional
4000.0,1955,100,19.0,1,1,functional
0.0,1348,230,20.0,1,0,non functional
25.0,710,50,14.0,1,1,functional
500.0,2469,0,36.0,1,0,functional
500.0,1803,250,11.0,1,1,functional
20.0,1007,100,22.0,1,1,functional needs repair
20.0,240,30,18.0,1,1,functional needs repair
4000.0,1982,70,19.0,1,1,functional
1500.0,2169,20,15.0,1,1,functional
20.0,783,10,14.0,1,1,functional
0.0,1545,200,49.0,1,1,non functional
20.0,766,1,14.0,1,1,non functional
6.0,962,45,14.0,1,1,functional
0.0,1583,150,13.0,1,1,non functional
0.0,190,200,23.0,1,0,functional
0.0,1670,1,30.0,1,1,non functional
500.0,954,567,37.0,1,1,functional needs repair
0.0,1365,130,20.0,1,1,non functional
0.0,1538,225,18.0,1,1,functional
0.0,1788,50,12.0,1,1,functional
0.0,1366,54,44.0,1,1,non functional
0.0,1694,1,18.0,1,0,non functional
200.0,303,280,27.0,1,1,non functional
500.0,1153,1,13.0,1,0,functional
500.0,2049,75,14.0,1,1,functional
0.0,905,140,48.0,1,1,functional
0.0,406,900,30.0,1,0,non functional
0.0,2328,0,20.0,1,0,functional
0.0,427,100,18.0,1,1,functional needs repair
0.0,1331,360,11.0,1,1,functional
500.0,1701,441,22.0,1,1,functional
50.0,159,20,14.0,0,1,non functional
200.0,1002,120,16.0,1,1,functional needs repair
0.0,212,280,16.0,1,1,non functional
200.0,18,40,35.0,1,1,non functional
0.0,1560,221,14.0,1,1,functional
250.0,1471,950,15.0,1,1,functional
500.0,1274,1430,44.0,1,0,non functional
0.0,1000,0,44.0,1,1,functional needs repair
0.0,98,110,60.0,1,1,non functional
0.0,1128,256,12.0,1,1,functional
0.0,1352,150,20.0,1,0,functional
50.0,701,1,11.0,1,0,functional needs repair
10.0,1409,75,23.0,1,1,functional
1000.0,744,320,12.0,1,1,functional
50.0,1428,1,22.0,1,1,non functional
0.0,1295,120,18.0,1,1,non functional
0.0,1207,120,17.0,1,1,functional
0.0,445,90,25.0,1,1,functional
0.0,1191,804,22.0,0,0,non functional
50.0,1348,1,18.0,1,1,non functional
100.0,2073,0,22.0,1,0,non functional
500.0,2050,305,14.0,1,1,functional
0.0,1282,1,14.0,1,1,functional
0.0,2050,50,15.0,1,0,functional
30.0,11,1,16.0,0,0,non functional
20.0,471,150,18.0,1,1,functional
0.0,385,1,48.0,1,1,functional
0.0,350,1,50.0,1,1,non functional
2000.0,1603,40,12.0,1,0,functional
0.0,1,200,35.0,1,1,non functional
0.0,1589,1600,14.0,1,1,functional
0.0,-15,50,52.0,1,0,non functional
0.0,1595,590,26.0,1,0,functional
400.0,531,1,13.0,0,0,non functional
0.0,101,1,12.0,0,0,functional
1000.0,1562,250,13.0,1,0,functional
0.0,1481,450,36.0,1,0,non functional
500.0,1445,80,44.0,1,1,functional
1200.0,1242,560,45.0,1,1,functional
0.0,1231,2500,13.0,1,0,functional
0.0,1076,1050,12.0,1,1,non functional
20.0,262,36,18.0,1,1,functional
0.0,935,540,39.0,1,1,functional
0.0,823,300,50.0,1,1,non functional
40.0,217,12,12.0,1,1,functional
500.0,253,450,25.0,1,1,functional
300.0,665,632,25.0,1,1,non functional
500.0,1783,50,50.0,1,1,functional
0.0,961,245,10.0,1,1,functional
0.0,183,600,14.0,1,0,non functional
1000.0,1592,1,38.0,1,1,functional
0.0,1589,120,16.0,1,1,functional
0.0,1485,59,36.0,1,0,non functional
0.0,1823,1,13.0,1,1,functional
0.0,1705,0,22.0,1,1,functional
30.0,128,50,12.0,1,1,non functional
25000.0,1768,25,35.0,1,1,functional
50.0,232,150,11.0,1,1,functional
1500.0,1567,500,44.0,1,1,functional
0.0,1607,1,60.0,1,1,non functional
50.0,1135,100,44.0,1,1,non functional
500.0,1768,40,12.0,1,0,functional
500.0,1593,40,13.0,1,0,functional
0.0,1315,400,10.0,1,0,functional
10.0,205,100,40.0,1,1,non functional
10.0,1685,200,13.0,1,1,functional
0.0,1397,20,44.0,1,1,non functional
0.0,1232,100,37.0,1,1,non functional
1000.0,1055,450,11.0,1,1,functional needs repair
0.0,744,1,46.0,1,1,functional needs repair
500.0,1897,150,22.0,1,1,functional
0.0,1661,140,20.0,1,1,functional needs repair
0.0,1297,90,20.0,1,1,non functional
750.0,1071,570,17.0,1,1,functional
0.0,120,1,34.0,1,1,non functional
0.0,1201,1,13.0,0,0,functional
0.0,966,700,26.0,1,1,functional
20.0,0,120,23.0,1,1,functional
0.0,1281,350,40.0,1,1,non functional
10.0,508,630,16.0,1,0,non functional
0.0,1556,270,14.0,1,1,non functional
